No,英語,日本語,単元
68,recover,回復する,p.30-31
69,exhaustion,極度の疲労,p.30-31
70,hatch,かえる,p.30-31
71,nutritious,栄養のある,p.30-31
72,squeeze,絞る,p.30-31
73,strength,力,p.30-31
74,weight,体重,p.30-31
75,literally,文字通り,p.30-31
76,nutrition （手書き）,栄養,p.30-31
77,stay behind,残りにとどまる,p.30-31
78,squeeze A out of B,BからAを絞り出す,p.30-31
79,extinction,絶滅,p.32-33
80,according to,～によれば,p.32-33
81,expert,専門家,p.32-33
82,current,今の,p.32-33
83,rate,速度,p.32-33
84,entire,全体の,p.32-33
85,decline,減少,p.32-33
86,least,最も少なく,p.32-33
87,halve,半分に減らす,p.32-33
88,decrease,減少,p.32-33
89,threaten,脅かす,p.32-33
90,plumage,羽毛,p.32-33
91,waterproof,水を通さない,p.32-33
92,thus,したがって,p.32-33
93,charming,魅力的な,p.32-33
94,at least,少なくとも,p.32-33
95,をかし,趣がある/興味深い/美しい,古文
96,あはれなり,しみじみと情趣が深い/しみじみと悲しい,古文
97,おもしろし,趣がある/美しい,古文
98,めでたし,すばらしい/立派だ,古文
99,うつくし,かわいい,古文
100,うるはし,きちんとしている/仲がいい/端正で美しい/立派だ,古文
101,かなし,かわいい/いとしい,古文
102,なつかし,心ひかれる/好ましい,古文
103,すさまじ,興ざめだ,古文
104,むつかし,わずらわしい/不快だ/気味が悪い,古文
105,いとほし,気の毒だ/かわいそうだ,古文
106,かたはらいたし,みっともない/気の毒だ/きまりが悪い/恥ずかしい,古文
107,さうざうし,寂しい/物足りない,古文
108,おろかなり,おろそかだ/いいかげんだ,古文
109,あさまし,驚いたことだ/あきれたことだ/情けない,古文
110,いたづらなり,無駄だ/ひまだ,古文
111,はかなし,つまらない/ちょっとした,古文
112,おとなし,年輩だ/思慮分別がある,古文
113,なかなか,かえって,古文
114,さすがに,そうはいうもののやはり,古文
115,おどろく,はっと気づく/目が覚める,古文
116,ののしる,大声で騒ぐ/有名だ/評判が高い,古文
117,しる,治める,古文
118,けしき,様子,古文
119,なほ,やはり,古文
120,すなはち,すぐに,古文
121,やがて,そのまま/すぐに,古文
122,こころづきなし,気にくわない,古文
123,こころにくし,優れている/奥ゆかしい,古文
124,こころざし,愛情,古文
125,こころもとなし,じれったい/待ち遠しい/不安だ,古文
126,いたし（連用形：いたく）,立派だ/とても,古文
127,いみじ,すばらしい/ひどい/たいそう/とても,古文
128,かしこし,恐れ多い/優れている,古文
129,あぢきなし,つまらない,古文
130,おぼつかなし,不安だ/待ち遠しい,古文
131,かひなし,無駄である/どうしようもない,古文
132,やむごとなし,（捨ててはおけないほど）大切だ/貴重だ/高貴だ/尊い,古文
133,あてなり,高貴だ/上品だ,古文
134,あやし,不思議だ/変だ/粗末だ/見苦しい,古文
135,いやし,身分が低い,古文
136,しのぶ,じっと我慢する/懐かしむ/思い慕う,古文
137,あふ(動詞),男女が親しくつきあう/結婚する,古文
138,みる,男が女を妻にする/結婚する,古文
139,みゆ,女が男の妻になる/結婚する/嫁ぐ,古文
140,ゆかし,行きたい/見たい/聞きたい/知りたい,古文
141,すごし,物寂しい/恐ろしい,古文
142,つきづきし,似つかわしい/好ましい,古文
143,たけし,勇猛だ/勇ましい,古文
144,よし(形容詞),よい/身分が高い/教養がある,古文
145,よろし,悪くない/普通だ/ありふれている,古文
146,わろし,よくない,古文
147,あし,悪い,古文
148,うし,つらい,古文
149,わびし,つらい,古文
150,うしろめたし,不安だ/気がかりだ,古文
151,かたし,難しい,古文
152,ねんごろなり,心を込めている様子だ/丁寧だ/親しい一生懸命だ,古文
153,つれづれなり,することがなくて寂しい/退屈だ,古文
154,すずろなり/そぞろなり,あてもない/何となく・・・だ/むやみやたらだ/思いがけない,古文
155,ぐす,ついていく/（・・を）連れていく,古文
156,ありく,歩き回る/・・して回る,古文
157,わたる,行く/来る/いらっしゃる/ずっと・・する/一面に・・する,古文
158,おぼゆ,思われる/感じられる/思い出される/思い出す/似ている,古文
159,あふ(敢ふ),・・しきれない/・・するとすぐに,古文
160,あり,存在する/生きている,古文
161,ものす,・・をする,古文
162,うつつ,現実,古文
163,こと,言葉/他の/違っている/特に/異なっている,古文
164,たより,手段/機会/配置,古文
165,よし(名詞),理由/由緒/風情,古文
166,つとめて,早朝/翌朝,古文
167,としごろ,長年/ここ数年/数年来,古文
168,つきごろ,ここ数ヶ月/数ヶ月来,古文
169,ひごろ,ここ数日/数日来,古文
170,あまた,たくさん/多くの,古文
171,おのづから,自然に/偶然に,古文
172,げに,本当に/なるほど,古文
173,やうやう,だんだん,古文
174,あな,ああ、・・だなあ,古文
