No.,英単語,日本語訳,
159,admit,（自分にとって不利なこと）をしぶしぶ認める,stage1
160,permit,（公的機関などが）〜に、〜を許可する,stage1
161,afford,（canを伴い）〜する余裕がある,stage1
162,eventually,最終的に,stage1
163,remove,を取り除く,stage1
164,motive,動機,stage1
165,feed,に食べ物を与える,stage1
166,operate,を操作する,stage1
167,branch,"支店,（学問の）分野",stage1
168,product,製品,stage1
169,reduce,を減らす,stage1
170,treat,"（副詞を伴い）〜を扱う,を治療する",stage1
171,cure,（病気、病人など）を（完全に）治す,stage1
172,accurate,（データ、機械などが）正確な,stage1
173,curious,"好奇心の強い,奇妙な",stage1
174,secure,"安全な,を確保する",stage1
175,impulse,衝動,stage1
176,arise,（問題、誤解などが）生じる,stage1
177,praise,を褒める,stage1
178,scold,（特に子ども）を叱る,stage1
179,"apologize,to,人,for,理由",（人）に（理由）を謝罪する,stage1
180,pour,を注ぐ,stage1
181,wisdom,知恵,stage1
182,handle,（難題、文句など）を扱う,stage1
183,major,（他と比べて）大きい,stage1
184,confuse,を混乱させる,stage1
185,refuse,を断る,stage1
186,courage,勇気,stage1
187,encourage,を勇気づける,stage1
188,cheer,を応援する,stage1
189,occasion,場合,stage1
190,casual,さりげない,stage1
191,moderate,（数量、価格、程度が）適度の,stage1
192,responsible,責任がある,stage1
193,notice,に気がついている,stage1
194,notion,考え,stage1
195,order,"順序,秩序",stage1
196,ordinary,平凡な,stage1
197,count,"（を）数える,,重要である",stage1
198,evil,"邪悪な,悪い",stage1
199,bow,お辞儀する,stage1
200,load,（大量の）荷物,stage1
201,manner,流儀,stage1
202,nod,うなずく,stage1
203,appetite,食欲,stage2
204,compete,競争する,stage2
205,competent,（専門的な技術を備え）有能な,stage2
206,punctual,時間厳守の,stage2
207,"derive,A,from,B",BからAを引き出す,stage2
208,register,を登録する,stage2
209,environment,環境,stage2
210,pollute,を汚染する,stage2
211,labor,（肉体的な）労働,stage2
212,elaborate,入念な,stage2
213,manuscript,原稿,stage2
214,surface,表面,stage2
215,survive,"生き残る,を乗り越え生き残る",stage2
216,"be,likely,to",する可能性がある,stage2
217,"object,to",に反対する,stage2
218,reject,を断る,stage2
219,anxious,心配な,stage2
220,objective,"客観的な,（政治的）目的",stage2
221,surround,を囲む,stage2
222,"rely,on",を信頼する,stage2
223,religion,宗教,stage2
224,emotion,（強い）感情,stage2
225,rapidly,急速に,stage2
226,somehow,なんらかの方法で,stage2
227,annoy,を苛立たせる,stage2
228,practical,"実践的な,現実的な",stage2
229,devise,（新しい方法、装置）を考案する,stage2
230,evidence,証拠,stage2
231,perceive,"をとらえる,を認識する",stage2
232,deceive,をだます,stage2
233,temporary,一時的な,stage2
234,contemporary,"同時代の,現代の",stage2
235,glance,ちらっと見る,stage2
236,"be,aware,of",に気がついている,stage2
237,particular,ある特定の,stage2
238,whisper,ささやく,stage2
239,wander,さまよう,stage2
240,develop,発達する,stage2
241,offend,の気分を害する,stage2
242,similar,似ている,stage2
243,simultaneous,同時の,stage2
244,ideal,"理想の,理想",stage2
245,influence,"に（間接的）影響を及ぼす,影響",stage2
246,fluent,流れるような,stage2
247,besides,その上,stage2
248,accompany,に同伴する,stage2
249,literature,"文学,文献",stage2
250,intellectual,知的な,stage2
251,trust,を信頼する,stage2
252,embarrass,を当惑させる,stage2
253,"be,ashamed,of",を恥じている,stage2
254,harm,害,stage2
255,insurance,保険,stage2
256,effect,"（具体的な）影響,効果",stage2
257,affect,に（直接的な）影響を及ぼす,stage2
258,affection,（穏やかな）愛情,stage2
259,legend,伝説,stage2
260,"contribute,A,to,B",AをBに与える,stage2
261,distribute,を分配する,stage2
262,"attribute,A,to,B",Aの原因をBに押しつける,stage2
263,voluntary,自発的な,stage2
264,vote,"投票する,投票",stage2
265,"devote,A,to,B",AをBに捧げる,stage2
266,mature,"（判断などが）成熟した,（身体が）成長した",stage2
267,decade,１０年間,stage2
268,tribe,部族,stage2
269,trivial,とるに足らない,stage2
270,via~,〜経由で,stage2
271,obvious,明白な,stage2
272,bother,に迷惑をかける,stage2
273,disturb,"を邪魔する,を乱す",stage2
274,suburb,郊外,stage2
275,grasp,"をつかむ,を理解する",stage2
276,seize,（力や機械など）をつかむ,stage2
277,"relate,A,to,B",AをBに関連づける,stage2
278,relationship,（個人と個人の）関係,stage2
279,engage,（人の想像力、好奇心など）をつかんで放さない,stage2
280,burden,負担,stage2
281,value,価値,stage2
282,luxury,贅沢,stage2
283,fortune,"大金,運",stage2
284,verbal,言葉による,stage2
285,characteristic,（個々の）特徴,stage2
286,character,"（全体的な）特徴,（道徳的な意味での）人格",stage2
287,imitate,を真似る,stage2
288,doubtful,疑わしい,stage2
289,suspect,ではないかと疑う,stage2
290,aspect,（一つの）味方,stage2
291,spectator,（催し物、特にスポーツの）観客,stage2
292,audience,（芝居、講演、映画などの）観客（全体）,stage2
293,term,言葉,stage2
294,determine,（ある事柄がある事柄）を決める,stage2
295,phenomenon,現象,stage2
296,tissue,（細胞などの）組織,stage2
297,vary,様々だ,stage2
298,admire,"を高く評価する,を賞賛する",stage2
299,absorb,を吸収する,stage2
300,experiment,実験,stage2
301,elderly,年配の,stage2
302,fairly,"公平に,かなり",stage2
303,familiar,なじみがある,stage2
304,recall,（誰かに伝えるためなどで、意図的に）を思い出す,stage2
305,biography,伝記,stage2
306,fascinate,を魅了する,stage2
307,precious,貴重な,stage2
308,appreciate,（良いものを良いと）を評価する,stage2
309,"congratulate,A,on,B",BのことでAを祝福する,stage2
310,celebrate,（事柄）を祝う,stage2
311,"refer,to",について言及する.を示す,stage2
312,infer,を推測する,stage2
313,fertile,肥沃な,stage2
314,conference,会議,stage2
315,cruel,残酷な,stage2
316,quantity,量,stage2
317,qualification,資格,stage2
318,"consist,of",から成る,stage2
319,confidence,自信,stage2
320,apply,を貼り付ける,stage2
321,imply,（暗に）を意味する,stage2
322,harvest,収穫,stage2
323,affair,（出来事や活動などの漠然とした）事柄,stage2
324,faculty,"能力,,（大学の）教員",stage2
325,infect,を感染させる,stage2
326,defect,（製品や、法律、制度などの）欠陥,stage2
327,obey,（上司、命令など）に従う,stage2
328,summarize,を要約する,stage2
329,manufacture,を製造する,stage2
330,facility,施設,stage2
331,immigrant,（入国側から見た）移民,stage2
332,humanity,人間（全般）,stage2
333,mayor,市長,stage2
334,otherwise,"さもないと,他の方法で・点で",stage2
335,assume,"（根拠もないのに）と仮定する,と思い込む",stage2
336,consume,（燃料、贅沢品）を消費する,stage2
337,patience,忍耐,stage2
338,occur,（問題、間違い、現象などが）生じる,stage2
339,current,今の,stage2
340,relative,"親族,相対的な",stage2
341,waste,"を浪費する,浪費",stage2
342,utilize,を利用する,stage2
343,positive,プラスの,stage2
344,attract,を引きつける,stage2
345,trace,"（わかりにくいもの）をたどる,（非常に判別しにくい微かな）跡",stage2
346,abstract,抽象的な,stage2
347,guarantee,"保証,を保障する",stage2
348,passive,"受動的な,消費的な",stage2
349,passion,情熱,stage2
350,emerge,現れる,stage2
351,emergency,緊急,stage2
352,challenge,（やりがいのある）難題,stage2
353,represent,"を表す,を代表する",stage2
354,decline,減少する,stage2
355,"incline,O,to,V",OにVしたい気にさせる,stage2
356,pronounce,を発音する,stage2
357,utter,（叫び声、言葉、ため息など）を発する,stage2
358,random,"でたらめな,無作為の",stage2
359,observe,"を観察する,を遵守する",stage2
360,deserve,に値する,stage2
361,prejudice,（民族、宗教などに対する）偏見,stage2
362,bias,（人やモノに対する）偏見,stage2
363,adapt,を適合させる,stage2
364,sympathy,"同情,共感",stage2
365,replace,に取って代わる,stage2
366,equipment,"設備,用品",stage2
367,"identify,A,with,B","AがBと同じだと確認する,を特定する",stage2
368,reasonable,ちょうどいい,stage2
369,acquire,を身につける,stage2
370,reveal,"を暴露する,を明らかにする",stage2
371,conceal,（注意深く、意図的に）を隠す,stage2
372,frequently,頻繁に,stage2
373,imaginative,想像力に富んだ,stage2
374,sensitive,繊細な,stage2
375,interfere,干渉する,stage2
376,alter,を変える,stage2
377,alternative,"代わりもの,（似たものの中から）他の",stage2
378,attempt,を試みる,stage2
379,tempt,を誘惑する,stage2
380,disaster,"災害,大失敗",stage2
381,strict,（規則、教師などが）厳しい,stage2
382,district,地区,stage2
383,region,地方,stage2
384,sphere,"球体,領域",stage2
385,atmosphere,"大気,部屋の空気（雰囲気）",stage2
386,hemisphere,半球,stage2
387,vivid,鮮明な,stage2
388,genuine,正真正銘の,stage2
389,pedestrian,（車に対しての）歩行者,stage2
390,visible,目に見える,stage2
391,scholarship,奨学金,stage2
392,welfare,福祉,stage2
393,profit,利益,stage2
394,benefit,"に利益を与える,恩恵",stage2
395,expense,"出費,経費",stage2
396,pension,年金,stage2
397,spend,（お金や時間）を費やす,stage2
398,psychology,心理学,stage2
399,range,（種類、数量などの）範囲,stage2
400,arrange,の手はずを整える,stage2
401,irritate,（繰り返される動作で）をイライラさせる,stage2
402,territory,領土,stage2
403,arrest,を逮捕する,stage2
404,restless,（不安や退屈のために）落ち着かない,stage2
405,reflect,"を反射する,（on~）熟考する",stage3
406,prize,賞,stage3
407,enterprise,"事業,企業",stage3
408,specimen,"標本,見本",stage3
409,despise,を蔑む,stage3
410,species,（植物などの）種,stage3
411,transfer,"を移す,を転校させる,を転勤させる",stage3
412,conflict,（意見、利害などの）対立,stage3
413,relieve,"を軽減する,をほっとさせる",stage3
414,remote,遠く離れた,stage3
415,stress,"を力説する,力説,ストレス",stage3
416,distress,苦悩,stage3
417,evaluate,（正しく）を評価する,stage3
418,available,入手可能な,stage3
419,courteous,礼儀正しい,stage3
420,convention,"集会,大会,慣習",stage3
421,conventional,従来の,stage3
422,advent,到来,stage3
423,define,"を明確に規定する,を定義する",stage3
424,infinite,無限の,stage3
425,confine,を閉じ込める,stage3
426,fuss,騒ぎ立てる,stage3
427,candidate,候補,stage3
428,"interact,with",と交流する,stage3
429,element,（基本的で重要な）要素,stage3
430,bury,を埋める,stage3
431,reputation,評判,stage3
432,enormous,（桁外れに）大きい,stage3
433,momentary,瞬間的な,stage3
434,firm,"堅い,固い",stage3
435,confirm,"を確実なものにする,を裏付ける",stage3
436,negotiate,交渉する,stage3
437,neglect,を放置する,stage3
438,routine,日課,stage3
439,solid,"固体,固い",stage3
440,withdraw,"を引き揚げる,を撤回する",stage3
441,outgrow,から脱皮する,stage3
442,overtake,を追い抜く,stage3
443,undertake,"を引き受ける,を始める",stage3
444,politician,政治家,stage3
445,staple,を綴じる,stage3
446,conclude,という結論を出す,stage3
447,include,が含まれている,stage3
448,"exclude,A,from,B",AをBから排除する,stage3
449,inquire,（情報を求めて）尋ねる,stage3
450,contain,（ある有形のモノの中に）が含まれている,stage3
451,"be,content,with",で満足している,stage3
452,nuclear,核の,stage3
453,tidy,（机、部屋、庭、家などが）キチンと片付いた,stage3
454,fulfill,を果たす,stage3
455,pursue,を追い求める,stage3
456,suitable,適した,stage3
457,financial,財政に関わる,stage3
458,abondant,豊富な,stage3
459,severe,ひどい,stage3
460,persevere,（困難にもめげずに）頑張り通す,stage3
461,discipline,"しつけ,（学問の）分野",stage3
462,document,（正式な）文章,stage3
463,doctrine,（宗教上の）教義,stage3
464,"regardless,of",とは無関係に,stage3
465,citizen,"市民,（国政に参与する権利を有する）国民",stage3
466,architecture,建築,stage3
467,duplicate,（鍵、ビデオ）の複製品を作る,stage3
468,masterpiece,傑作,stage3
469,secondhand,中古の,stage3
470,structure,（モノの）構造,stage3
471,construction,建設,stage3
472,industry,工業,stage3
473,intimate,"親しい,詳しい",stage3
474,worth,"の価値がある,価値",stage3
475,worship,"礼拝する,礼拝,崇拝",stage3
476,"be,reluctant,to,V",Vすることに気がすすまない,stage3
477,sentiment,（国民などの）感情,stage3
478,resent,を憤慨する,stage3
479,consent,"承諾,（to~,）承諾する",stage3
480,slave,奴隷,stage3
481,achieve,を達成する,stage3
482,mischievous,いたずらな,stage3
483,acknowledge,（自分の過失などを）認める,stage3
484,ultimate,最終的な,stage3
485,budget,予算,stage3
486,synthetic,合成の,stage3
487,analysis,分析,stage3
488,paralyze,を麻痺させる,stage3
489,loyal,忠実な,stage3
490,property,"財産,特性",stage3
491,assemble,を組み立てる,stage3
492,resemble,に似ている,stage3
493,resume,（中断していたもの）を再開する,stage3
494,presume,（根拠なく）を推定する,stage3
495,"add,A,to,B",AをBに加える,stage3
496,"endow,A,with,B",AにBを授ける,stage3
497,alert,"警戒している,警戒",stage3
498,found,を設立する,stage3
499,profound,（思想、影響力などが）深い,stage3
500,colleague,同僚,stage3
501,"expose,A,to,B",AをBにさらす,stage3
502,"impose,A,on,B",AをBに押しつける,stage3
503,oppose,（計画、案など）に反対する,stage3
504,disposal,（廃棄物などの）処理,stage3
505,fatigue,（過労や運動などによる）疲れ,stage3
506,literally,文字通りに,stage3
507,exhibition,展示会,stage3
508,prohibit,（法律や命令などで公的に）〜を禁じる,stage3
509,compose,を達成する,stage3
510,omit,を省く,stage3
511,commit,を送る,stage3
512,committee,委員会,stage3
513,transmit,（遠くに電波など）を伝える,stage3
514,dismiss,（意見など）を退ける,stage3
515,forbid,を禁止する,stage3
516,scarce,（生活必需品などの供給が一時的に）乏しい,stage3
517,maintain,"を維持する,（that,SVで）を主張する",stage3
518,entertainment,娯楽,stage3
519,obtain,（努力の結果、ある技術を駆使した結果）を得る,stage3
520,retain,（失うことなく）を保持する,stage3
521,exercise,（権利、想像力、権力など）を行使する,stage3
522,manipulate,（世論、株価など）を操作する,stage3
523,manage,"を操る,（to,V）Vをなんとかやり遂げる",stage3
524,misuse,を悪用する,stage3
525,extra,余分な,stage3
526,flexible,柔軟な,stage3
527,reflexes,反射神経,stage3
528,reform,"改善,を改善する",stage3
529,transform,を（大きく）変える,stage3
530,sacrifice,"を犠牲にする,犠牲",stage3
531,sacred,神聖な,stage3
532,illusion,"（主に自分に関する）錯覚,幻想",stage3
533,misleading,誤解を招く,stage3
534,"urge,O,to,V","OにVするように強く言う,（強い）願望",stage3
535,detect,"（臭いなどを）検知する,を見破る",stage3
536,incentive,"褒美,仕事の励みになるもの",stage3
537,"assure,A,of,B",AにBを保証する,stage3
538,reassure,を安心させる,stage3
539,accumulate,（長期にわたり徐々に）を蓄積する,stage3
540,voyage,"（通年長い）船旅,宇宙の旅",stage3
541,expedition,（研究、探求、戦争目的の）長旅,stage3
542,bribe,賄賂,stage3
543,conscience,良心,stage3
544,conscious,"意識のある,分かっている",stage3
545,billion,１０億の,stage3
546,"persist,in",をやり通す,stage3
547,overcome,"（困難、欠陥）を克服する,（敵など）に打ち勝つ",stage3
548,overwhelm,を圧倒する,stage3
549,scenery,（自然の美しい）風景,stage3
550,view,"（モノの）見方,を見る",stage3
551,statistics,統計,stage3
552,digest,（食事、話など）を消化する,stage3
553,exaggerate,を誇張する,stage3
554,suggest,"（比較的軽い気持ちで）を提案する,を示唆する",stage3
555,purify,を浄化する,stage3
556,enthusiasm,情熱,stage3
557,female,女性の,stage3
558,resolve,"を解決する,（to,V）Vすることを決意する",stage3
559,absolutely,絶対に,stage3
560,principal,"主な,校長",stage3
561,glory,栄光,stage3
562,awkward,ぎこちない,stage3
563,envy,について羨ましく思う,stage3
564,democracy,民主主義,stage3
565,aristocracy,貴族,stage3
566,potential,将来〜になるかもしれない（モノ、人）,stage3
567,potent,強力な,stage3
568,foster,（長期にわたってある感情、考え、才能など）を促進する,stage3
569,domestic,"家庭内の,国内の",stage3
570,promote,（平和、競争など）を促進する,stage3
571,prompt,（適切で）速やかな,stage3
572,explore,を探検する,stage3
573,declare,をはっきり述べる,stage3
574,evolution,（生物、コンピューターなどの）進化,stage3
575,isolate,を孤立させる,stage3
576,submit,"を提出する,（to,~）屈する",stage3
577,emit,を放出する,stage3
578,disgust,の気分を著しく害する,stage3
579,mutual,相互の,stage3
580,authority,"権威,（複数形で）当局",stage3
581,substantial,（数量が）かなりの,stage3
582,vehicle,"乗り物,手段",stage3
583,volume,"（全集の）１巻、書物,量、ボリューム",stage3
584,involve,"を巻き込む,を伴う",stage3
585,garbage,（生）ゴミ,stage3
586,diverse,多様な,stage3
587,controversy,（長期にわたる）論争,stage3
588,advertise,の宣伝をする,stage3
589,divorce,離婚,stage3
590,annual,"１年間の,年１回行われる",stage3
591,uniform,均一の,stage3
592,"conform,to",（集団の行動、規則）に従う,stage3
593,ingenious,独創性な,stage3
594,"convince,A,of,B",AにBを確信させる,stage3
595,victim,犠牲者,stage3
596,abolish,を廃止する,stage3
597,adolescence,思春期,stage3
598,adjust,"を調整する,を調節する",stage3
599,justify,を正当化する,stage3
600,jury,"陪審,陪審団",stage3
601,inspire,（人）を奮い立たせる,stage3
602,insight,深く理解していること,stage3
603,consequence,（ある原因に対して必然的に生じる良くない）結果,stage3
604,subsequently,その後,stage3
605,persecute,を迫害する,stage3
606,interpret,"を解釈する,（を）通訳する",stage3
607,site,（ある特別な）土地、現場,stage3
608,molecule,（物理、化学の）分子,stage3
609,adopt,を受け入れる,stage4
610,adequate,十分な,stage4
611,advocate,提唱者,stage4
612,provoke,（ある種の反応や感情や論争）を引き起こす,stage4
613,vocation,天職,stage4
614,immediately,（ある事柄とある事柄が）同時に,stage4
615,dispute,（深刻で長く続く）論争,stage4
616,furious,激怒した,stage4
617,drain,の水を抜く,stage4
618,ignore,（意識的に）を無視する,stage4
619,ignorant,無知な,stage4
620,diagnosis,診察,stage4
621,condemn,を非難する,stage4
622,depress,を落ち込ませる,stage4
623,"the,Arctic",北極,stage4
624,symptom,症状,stage4
625,organism,生き物,stage4
626,layer,層,stage4
627,instruction,指示,stage4
628,instrument,"道具,楽器",stage4
629,invest,を投資する,stage4
630,investigation,"捜査,研究",stage4
631,vanish,（突然よくわからない理由で）消える,stage4
632,vain,虚しい,stage4
633,vast,広大な,stage4
634,vague,（情報不足で）曖昧な,stage4
635,clumsy,（しばしば物を落としたり、物を壊したりするほど）不器用な,stage4
636,counterpart,対応するもの、人,stage4
637,diameter,直径,stage4
638,conductor,導くもの,stage4
639,obligation,"（社会に対する）責務,（個人に対する）恩義",stage4
640,rational,理にかなった,stage4
641,"stem,from",に由来する,stage4
642,"clue,to",の手がかり,stage4
643,disarmament,軍縮,stage4
644,discrimination,"（民族、男女などの）差別,（微妙なものの）識別",stage4
645,violate,（人権、協定など）を侵す,stage4
646,fate,宿命,stage4
647,confess,を白状する,stage4
648,emphasize,を強調する,stage4
649,triumph,"（苦労の末の）勝利,勝利する",stage4
650,infant,幼児,stage4
651,discard,を捨てる,stage4
652,disguise,変装,stage4
653,undo,を元通りにする,stage4
654,comprehend,を（包括的に）理解する,stage4
655,prison,刑務所,stage4
656,prey,餌食,stage4
657,apprehension,懸念,stage4
658,dominate,を支配する,stage4
659,domain,（思想、知恵、活動などの）領域,stage4
660,affluent,裕福な,stage4
661,proceed,前へ進む,stage4
662,procedure,手順、手続き,stage4
663,successive,連続した,stage4
664,seemingly,に思える,stage4
665,reserve,（席、部屋）を予約する,stage4
666,preserve,を保存する,stage4
667,oppress,（残酷に、不当に、人）を圧迫する,stage4
668,suppress,（反乱、暴動、感動）を抑える,stage4
669,embrace,（新しい考え、理論など）を受け入れる,stage4
670,ambiguous,（言葉、発言などが）曖昧な,stage4
671,ambulance,救急車,stage4
672,ambition,野望,stage4
673,tremble,震える,stage4
674,tremendous,（大きさ、速さ、力ず良さなどが）桁違いの,stage4
675,specific,明確かつ具体的な,stage4
676,degree,"（温度、角度、程度などの）度,学位",stage4
677,ruins,"荒廃,遺跡",stage4
678,valid,妥当な,stage4
679,equivalent,同等の,stage4
680,trail,"跡,爪痕",stage4
681,overall,"全てを包む,全体的な",stage4
682,contract,契約（書）,stage4
683,distract,の気を散らす,stage4
684,participate,参加する,stage4
685,anticipate,を予測し備える,stage4
686,emancipate,（奴隷など）を解放する,stage4
687,commerce,商業,stage4
688,upset,（人の気持ち）を動揺させる,stage4
689,indispensable,不可欠な,stage4
690,suspend,を一時的に中断する,stage4
691,"be,concerned,with",に関心を持っている,stage4
692,compensate,補償する,stage4
693,dormitory,寮,stage4
694,soar,急騰する,stage4
695,"subscribe,to",に加入する,stage4
696,prescribe,を処方する,stage4
697,stock,株,stage4
698,exclaim,（突然大声で）叫ぶ,stage4
699,extensive,広範囲な,stage4
700,constitution,憲法,stage4
701,superstition,迷信,stage4
702,institute,（あまり大きくない）研究所,stage4
703,institution,",（無形の）制度,,（有形の）機関",stage4
704,"substitution,A,for,B",Bの代わりにAを用いる,stage4
705,launch,"を開始する,を打ち上げる",stage4
706,abbreviate,を短縮する,stage4
707,destiny,運命,stage4
708,obstinate,頑固な,stage4
709,verify,を立証する,stage4
710,"compel,O,to,(V)",OにVすることを強制する,stage4
711,"expel,A,from,B",AをBから追放する,stage4
712,scream,（興奮して）叫ぶ,stage4
713,result,結果,stage4
714,consult,（専門家など）に相談する,stage4
715,insult,を侮辱する,stage4
716,assault,襲撃,stage4
717,eager,熱心な,stage4
718,stick,"を貼り付ける,張り付いている",stage4
719,stimulate,を刺激する,stage4
720,instinct,本能,stage4
721,extinct,絶滅した,stage4
722,distinguish,を区別する,stage4
723,modest,謙虚な,stage4
724,accommodation,（家、アパート、ホテルなどを総称した）宿泊施設,stage4
725,modify,（改善のため計画や意見など）を修正する,stage4
726,classify,を分類する,stage4
727,exhaust,を疲れ果てさせる,stage4
728,humble,謙虚な,stage4
729,humid,湿気のある,stage4
730,humiliate,に屈辱を与える,stage4
731,manifest,（主に良くないことが）明白な,stage4
732,suicide,自殺,stage4
733,precise,（情報、計算などが）正確な,stage4
734,material,"材料,物質的な",stage4
735,reinforce,を補強する,stage4
736,pregnant,妊娠した,stage4
737,unlike,と違い,stage4
738,friction,摩擦,stage4
739,privilege,特権,stage4
740,legitimate,正当な,stage4
741,novelty,斬新さ,stage4
742,innovation,刷新（的手法）,stage4
743,botany,植物学,stage4
744,era,（他の時代と区別される重要な出来事がある）時代,stage4
745,evade,（責任、税金など）を逃れる,stage4
746,riot,暴動,stage4
747,philosophy,哲学,stage4
748,sophisticated,（人が）洗練された、（モノが）精巧な,stage4
749,endure,（長期にわたり）〜に耐える,stage4
750,approve,承認する,stage4
751,probe,"探査する,詮索する",stage4
