No,英語,日本語,単元
112,cry,叫ぶ,Unit２
113,borrow,借りる,Unit２
114,kill,殺す,Unit２
115,push,押す,Unit２
116,climb,登る,Unit２
117,laugh,笑う,Unit２
118,smile,ほほえむ,Unit２
119,hurry,急ぐ,Unit２
120,cheer,元気づける,Unit２
121,volunteer,ボランティア,Unit２
122,side,側,Unit２
123,front,前/正面,Unit２
124,concert,コンサート,Unit２
125,fire,火事,Unit２
126,village,村,Unit２
127,lesson,レッスン,Unit２
128,light,明かり,Unit２
129,Internet,インターネット,Unit２
130,weather,天気,Unit２
131,voice,声,Unit２
132,piece,１つ/１枚,Unit２
133,goal,目標,Unit２
134,speech,スピーチ,Unit２
135,fan,ファン,Unit２
136,dream,夢,Unit２
137,mistake,間違い,Unit２
138,meter,メートル,Unit２
139,land,土地,Unit２
140,hundred,百,Unit２
141,thousand,千,Unit２
142,million,百万,Unit２
143,medicine,薬,Unit２
144,uniform,制服,Unit２
145,heat,暑さ,Unit２
146,evening,夕方,Unit２
147,noon,正午,Unit２
148,holiday,休日/祝日,Unit２
149,course,講座,Unit２
150,rule,ルール,Unit２
151,forest,森林,Unit２
152,farm,農場,Unit２
153,treasure,大切な物,Unit２
154,hole,穴,Unit２
155,cloud,雲,Unit２
156,phone,電話,Unit２
157,sorry,すまなく思って,Unit２
158,careful,注意深い,Unit２
159,wonderful,すばらしい (w-),Unit２
160,heavy,重い,Unit２
161,sick,病気の,Unit２
162,dear,親愛なる,Unit２
163,glad,うれしい,Unit２
164,dark,暗い,Unit２
165,sad,悲しい,Unit２
166,cute,かわいい,Unit２
167,free,暇な,Unit２
168,foreign,外国の,Unit２
169,low,低い,Unit２
170,safe,安全な,Unit２
171,angry,怒った,Unit２
172,lucky,幸運な,Unit２
173,bright,輝いて,Unit２
174,soft,柔らかい,Unit２
175,loud,（音が）大きい,Unit２
176,even,〜でさえ,Unit２
177,back,戻って,Unit２
178,still,まだ/なお,Unit２
179,early,早く,Unit２
180,soon,すぐに/まもなく,Unit２
181,away,離れて,Unit２
182,almost,ほとんど/ほぼ,Unit２
183,together,一緒に,Unit２
184,maybe,もしかすると,Unit２
185,once,１度,Unit２
186,else,ほかに,Unit２
187,ago,〜前に,Unit２
188,straight,まっすぐに,Unit２
189,slowly,ゆっくりと,Unit２
190,suddenly,突然/急に,Unit２
191,until,…するまで,Unit２
192,since,…したときから,Unit２
193,around,〜のあちこちを,Unit２
194,over,〜を超えて,Unit２
195,without,〜なしに,Unit２
196,through,〜の間じゅう,Unit２
197,between,〜の間に (b-),Unit２
198,during,〜の間に (d-),Unit２
199,behind,〜の後ろに,Unit２
200,along,〜に沿って,Unit２
201,come from,〜から来ている,Unit３
202,come true,実現する,Unit３
203,cut off,〜を切り取る,Unit３
204,do one’s best,全力を尽くす,Unit３
205,get off,〜を降りる,Unit３
206,get on,〜に乗る,Unit３
207,get to,〜に到着する,Unit３
208,go through,〜を経験する,Unit３
209,grow up,成長する/大人になる,Unit３
210,hear of,〜のことを聞く,Unit３
211,help oneself to,〜を自由にとって食べる［飲む］,Unit３
212,look for,〜を探す,Unit３
213,look forward to,〜を楽しみに待つ,Unit３
214,look like,〜に似ている,Unit３
215,pick up,〜を拾い上げる,Unit３
216,speak to / speak with,〜と話す,Unit３
217,take care of,〜の世話をする,Unit３
218,take off,〜を脱ぐ,Unit３
219,take part in,〜に参加する,Unit３
220,think of,〜を思いつく,Unit３
221,after school,放課後に,Unit３
222,all over,〜の至る所に,Unit３
223,all the time,いつも,Unit３
224,at first,最初は/初めのうちは,Unit３
225,at home,在宅して,Unit３
226,at last,ついに/やっと,Unit３
227,at that time,その時に/当時,Unit３
228,at the same time,同時に,Unit３
229,for a long time,長い間,Unit３
230,for the first time,初めて,Unit３
231,in the end,結局,Unit３
232,in the future,将来,Unit３
233,in this way,このようにして,Unit３
234,more than,〜より多い,Unit３
235,of course,もちろん,Unit３
236,on one’s way to,〜に行く途中で,Unit３
237,over there,あそこに/あそこで,Unit３
238,these days,近ごろ,Unit３
239,a kind of,一種の,Unit３
240,a lot of / lots of,たくさんの,Unit３
241,A such as B,BのようなA,Unit３
242,and so on,など,Unit３
243,here is [are],これが〜です,Unit３
244,How about ~ ?,〜（して）はいかがですか？,Unit３
245,no longer,もはや〜ない,Unit３
246,not only A but (also) B,AだけでなくBも,Unit３
247,so ~ that …,とても〜なので…,Unit３
248,too ~ to,あまりに〜なので…できない,Unit３
249,used to,以前はよく…した,Unit３
250,would like to,…したいと思う,Unit３
251,create,創造する,Unit３
252,base,基礎を置く,Unit３
253,repair,修理する/修復する,Unit３
254,fail,失敗する,Unit３
255,accept,受け入れる,Unit３
256,belong,属する,Unit３
257,exchange,交換する,Unit３
258,complete,完成させる,Unit３
259,treat,扱う,Unit３
260,cross,横切る,Unit３
261,hide,隠す,Unit３
262,shake,振る,Unit３
263,challenge,挑戦する,Unit３
264,connect,つなぐ,Unit３
265,reply,返事をする,Unit３
266,beat,打ち負かす,Unit３
267,share,分かち合う,Unit３
268,observe,観察する,Unit３
269,mark,しるしをつける,Unit３
270,burn,焦がす/焦げる,Unit３
271,locate,位置している,Unit３
272,fix,修理する/固定する,Unit３
273,suit,に最適である,Unit３
274,destroy,破壊する,Unit３
275,control,抑制する/制御する,Unit３
276,respond,返答する,Unit３
277,depend,当てにする,Unit３
278,forgive,許す,Unit３
279,attack,襲う,Unit３
280,sink,沈む,Unit３
281,appreciate,感謝する,Unit３
282,feed,に食べ物を与える,Unit３
283,success,成功,Unit３
284,mystery,謎/未知のこと,Unit３
285,ceremony,式典/儀式,Unit３
286,schedule,予定/予定表,Unit３
287,damage,損害/悪影響,Unit３
288,model,型/模型,Unit３
289,search,捜索,Unit３
290,project,計画/事業,Unit３
291,form,形態,Unit３
292,scene,場面,Unit３
293,accident,事故,Unit３
294,contact,連絡,Unit３
295,image,イメージ,Unit３
296,trust,信頼/信用,Unit３
297,quality,質/品質,Unit３
298,action,行動,Unit３
299,lack,不足/ないこと,Unit３
300,spot,場所,Unit３
301,truth,真実/本当のこと,Unit４
302,effort,努力,Unit４
303,type,型/タイプ,Unit４
304,site,敷地/土地,Unit４
305,tool,手段/道具,Unit４
306,couple,２つ/２人,Unit４
307,hero,ヒーロー/英雄,Unit４
308,courage,勇気,Unit４
309,board,板/掲示板,Unit４
310,purpose,目的/意図,Unit４
311,waste,無駄/浪費,Unit４
312,shape,形,Unit４
313,technique,技能/技術,Unit４
314,middle,真ん中/中央,Unit４
315,spirit,精神/心,Unit４
316,partner,パートナー,Unit４
317,population,人口,Unit４
318,fever,熱/発熱,Unit４
319,method,方法,Unit４
320,structure,構造,Unit４
321,background,経歴/生い立ち,Unit４
322,combination,組み合わせ,Unit４
323,official,公式の,Unit４
324,flat,平らな,Unit４
325,serious,深刻な,Unit４
326,ordinary,普通の,Unit４
327,private,私的な/個人的な,Unit４
328,major,重大な,Unit４
329,classical,クラシックの,Unit４
330,honest,正直な,Unit４
331,excellent,とても優れた,Unit４
332,whole,全体の,Unit４
333,central,中心の,Unit４
334,ancient,古代の,Unit４
335,fantastic,とてもすばらしい,Unit４
336,regular,定期的な,Unit４
337,basic,基本的な/初歩的な,Unit４
338,huge,巨大な,Unit４
339,empty,空の/空いている,Unit４
340,smart,頭のよい/賢い,Unit４
341,general,大まかな/一般的な,Unit４
342,single,たった１つの,Unit４
343,responsible,責任のある,Unit４
344,fresh,新鮮な,Unit４
345,familiar,熟知している,Unit４
346,native,出生地の/母国の,Unit４
347,instant,即席の,Unit４
348,lovely,すてきな,Unit４
349,clear,明白な,Unit４
350,convenient,都合のよい/便利な,Unit４
351,crazy,夢中で/頭の狂った,Unit４
352,funny,おかしい,Unit４
353,secret,秘密の,Unit４
354,remote,（遠く）離れた,Unit４
355,wake,目を覚ます,Unit４
356,release,解放する,Unit４
357,establish,設立する,Unit４
358,examine,調べる,Unit４
359,celebrate,祝う,Unit４
360,float,漂う/浮く,Unit４
361,recommend,推薦する,Unit４
362,supply,供給する,Unit４
363,disappear,見えなくなる,Unit４
364,apologize,謝る,Unit４
365,paint,塗る,Unit４
366,pull,引く/引っ張る,Unit４
367,print,印刷する,Unit４
368,lift,持ち上げる,Unit４
369,separate,分ける,Unit４
370,melt,溶かす/溶ける,Unit４
371,strike,強く打つ,Unit４
372,blow,吹き飛ばす,Unit４
373,let,させてやる,Unit４
374,roll,転がる/転がす,Unit４
375,recover,回復する,Unit４
376,surround,囲む/取り囲む,Unit４
377,doubt,疑う,Unit４
378,display,展示する/陳列する,Unit４
379,announce,発表する,Unit４
380,support,支持する,Unit４
381,act,行動する,Unit４
382,repeat,繰り返す,Unit４
383,count,数える,Unit４
384,compare,比べる,Unit４
385,shine,輝く,Unit４
386,replace,に取って代わる,Unit４
387,reality,現実,Unit４
388,strength,力/強さ,Unit４
389,era,時代,Unit４
390,area,地域/区域,Unit４
391,respect,尊敬,Unit４
392,pressure,重圧,Unit４
393,pleasure,喜び/楽しみ,Unit４
394,favor,親切な行為,Unit４
395,statue,像,Unit４
396,limit,限度/限界,Unit４
397,bottom,下部/底,Unit４
398,position,立場,Unit４
399,memory,記憶/記憶力,Unit４
400,level,水準/レベル,Unit４
401,figure,数/数値,Unit５
402,direction,方向,Unit５
403,bit,少し/少量,Unit５
404,contrast,対比/差異,Unit５
405,religion,宗教,Unit５
406,harmony,調和/一致,Unit５
407,pattern,模様/図柄,Unit５
408,stage,段階,Unit５
409,degree,程度,Unit５
410,emergency,緊急,Unit５
411,origin,起源,Unit５
412,battle,戦闘,Unit５
413,enemy,敵,Unit５
414,note,メモ,Unit５
415,countryside,田舎,Unit５
416,contest,競技会/コンテスト,Unit５
417,sort,種類,Unit５
418,depth,深さ,Unit５
419,top,最高部/頂上,Unit５
420,theme,テーマ/主題,Unit５
421,sentence,文,Unit５
422,cycle,周期,Unit５
423,concept,概念,Unit５
424,rhythm,リズム,Unit５
425,tradition,伝統,Unit５
426,theory,理論/説,Unit５
427,correct,正しい,Unit５
428,blank,白紙の/空白の,Unit５
429,quiet,静かな,Unit５
430,smooth,滑らかな/すべすべした,Unit５
431,wet,濡れた/湿った,Unit５
432,chief,最高の/最高位の,Unit５
433,raw,生の,Unit５
434,personal,個人の/個人的な,Unit５
435,double,２倍の,Unit５
436,dirty,汚れた,Unit５
437,normal,普通の,Unit５
438,full,いっぱいの,Unit５
439,simple,簡単な,Unit５
440,equal,等しい/同等の,Unit５
441,quick,短時間の/すばやい,Unit５
442,rapid,急速な/急激な,Unit５
443,ideal,理想的な,Unit５
444,rough,大まかな/粗い,Unit５
445,silent,無言の/静かな,Unit５
446,violent,暴力的な,Unit５
447,rich,豊富の/金持ちの,Unit５
448,perfect,完全な/完璧な,Unit５
449,weak,弱い/弱った,Unit５
450,upper,上の方の/高い方の,Unit５
451,inner,内部の/中心部の,Unit５
452,awful,ひどい,Unit５
453,FALSE,間違った,Unit５
454,vivid,鮮やかな,Unit５
455,pure,純粋な,Unit５
456,minor,重要でない/小さい方の,Unit５
457,mild,（天候が）穏やかな,Unit５
458,admire,賞賛する/感嘆する,Unit５
459,drop,落とす,Unit５
460,reflect,映し出す/反射する,Unit５
461,dig,掘る,Unit５
462,beg,懇願する,Unit５
463,freeze,凍る,Unit５
464,adopt,採用する,Unit５
465,measure,測る,Unit５
466,flow,流れる,Unit５
467,fulfill,実現させる,Unit５
468,deliver,配達する,Unit５
469,wrap,包む,Unit５
470,knock,ノックする,Unit５
471,spell,つづる,Unit５
472,rush,急いで行く,Unit５
473,pray,祈る,Unit５
474,reject,拒絶する,Unit５
475,protest,抗議する,Unit５
476,handle,扱う/処理する,Unit５
477,disturb,邪魔する,Unit５
478,gather,集める,Unit５
479,copy,写しをとる,Unit５
480,press,押す,Unit５
481,consist,成り立つ,Unit５
482,assist,手助けする,Unit５
483,kick,蹴る,Unit５
484,link,結びつける/関連づける,Unit５
485,adjust,順応する/適応する,Unit５
486,defend,守る,Unit５
487,shut,閉める/閉じる,Unit５
488,bear,耐える,Unit５
489,task,仕事,Unit５
490,hug,抱擁/ハグ,Unit５
491,clue,手がかり,Unit５
492,percent,パーセント,Unit５
493,dozen,１ダース,Unit５
494,ghost,幽霊,Unit５
495,error,誤り,Unit５
496,trend,流行/トレンド,Unit５
497,thought,考え,Unit５
498,alarm,警報,Unit５
499,sample,見本/試供品,Unit５
500,shadow,影/陰,Unit５
501,shade,陰/日陰,Unit６
502,standard,基準/標準,Unit６
503,hunger,飢え/空腹,Unit６
504,appeal,訴え/要求,Unit６
505,harm,害/危害,Unit６
506,pile,積み重ね,Unit６
507,plenty,たくさん,Unit６
508,edge,端/縁,Unit６
509,poison,毒,Unit６
510,scale,規模/目盛り,Unit６
511,section,節/区分,Unit６
512,attempt,試み,Unit６
513,merit,長所/利点,Unit６
514,trick,いたずら,Unit６
515,second,少しの間/秒,Unit６
516,medium,媒体/手段,Unit６
517,unit,単位,Unit６
518,ambition,願望/野心,Unit６
519,midnight,夜の１２時,Unit６
520,power,力,Unit６
521,principle,信条,Unit６
522,vision,展望,Unit６
523,quarter,4分の1,Unit６
524,luck,運/幸運,Unit６
525,quantity,分量/数量,Unit６
526,fault,責任/罪,Unit６
527,somehow,何とかして,Unit６
528,forever,永遠に,Unit６
529,mostly,主に/たいてい,Unit６
530,forward,前へ/先に,Unit６
531,nowadays,近ごろ/最近では,Unit６
532,ahead,前方に,Unit６
533,apart,離れて,Unit６
534,altogether,まったく/完全に,Unit６
535,throughout,〜の間じゅう,Unit６
536,beyond,〜の向こうに,Unit６
537,toward,〜の方向へ,Unit６
538,within,〜以内に,Unit６
539,above,〜の上方に,Unit６
540,below,〜より下に,Unit６
541,per,〜につき,Unit６
542,except,〜を除いて,Unit６
543,beside,〜のそばに,Unit６
544,unlike,〜と違って,Unit６
545,outside,〜の外に,Unit６
546,inside,〜の中に,Unit６
547,against,〜に反対して,Unit６
548,beneath,〜の下に,Unit６
549,plus,〜を加えて,Unit６
550,across,〜を横切って,Unit６
551,bring back,〜を返す,Unit６
552,carry out,〜を実行する,Unit６
553,date back to,〜にさかのぼる,Unit６
554,find out,知る,Unit６
555,get together,集まる,Unit６
556,give off,〜を発する,Unit６
557,hand in,〜を提出する,Unit６
558,hang up,電話を切る,Unit６
559,hold up,〜を支えている,Unit６
560,live on,〜で暮らしを立てる,Unit６
561,look after,〜の世話をする,Unit６
562,look out,注意する,Unit６
563,look up,〜を調べる,Unit６
564,major in,〜を専攻する,Unit６
565,name after,〜にちなんで名付ける,Unit６
566,put down,〜を書き留める,Unit６
567,see off,〜を見送る,Unit６
568,take a look,ちょっと見る,Unit６
569,take away,〜を片付ける,Unit６
570,take one’s time,…するのに時間をかける,Unit６
571,think of A as B,AをBと見なす,Unit６
572,be about to,…しようとしている,Unit６
573,be born into,〜の家庭に生まれる,Unit６
574,be faced with,〜に直面している,Unit６
575,be good at,〜が上手だ,Unit６
576,be in need of,〜を必要としている,Unit６
577,be made of [from],〜でできている,Unit６
578,be short of,〜が足りない,Unit６
579,be up to,〜次第である,Unit６
580,be worried about,〜のことを心配している,Unit６
581,by oneself,ひとりで/独力で,Unit６
582,on one’s own,たったひとりで,Unit６
583,above all,とりわけ,Unit６
584,across from,〜の向かい側に,Unit６
585,after all,結局は/やはり,Unit６
586,at a time,１度に,Unit６
587,by accident,偶然,Unit６
588,by mistake,間違って,Unit６
589,day after day,来る日も来る日も,Unit６
590,for free,無料で,Unit６
591,from on,〜以降,Unit６
592,from time to time,時々,Unit６
593,in a hurry,急いで,Unit６
594,in favor of,〜に賛成して,Unit６
595,in order to,…するために,Unit６
596,in the past,昔は/過去に,Unit６
597,in those days,その当時は,Unit６
598,on purpose,故意に/わざと,Unit６
599,over and over,何度も,Unit６
600,upside down,逆さまに,Unit６
601,a large number of,たくさんの,Unit７
602,a series of,一連の/一続きの,Unit７
603,as long as,…である限り,Unit７
604,as soon as,…するとすぐに,Unit７
605,had better,…するべきだ,Unit７
606,more and more,ますます多くの,Unit７
607,not at all,まったく〜ではない,Unit７
608,not A but B,AではなくてB,Unit７
609,the first time,初めて…したとき,Unit７
610,when it comes to,〜のこととなると,Unit７
611,parent,親,Unit７
612,husband,夫,Unit７
613,wife,妻,Unit７
614,kid,子供,Unit７
615,twin,双子（の１人）,Unit７
616,relative,親戚,Unit７
617,cousin,いとこ,Unit７
618,ancestor,先祖,Unit７
619,job,仕事,Unit７
620,work,仕事,Unit７
621,occupation,職業,Unit７
622,career,職業,Unit７
623,businesss,仕事/商売,Unit７
624,interview,面接,Unit７
625,hire,雇う,Unit７
626,retire,退職する/引退する,Unit７
627,clerk,店員,Unit７
628,officer,警官,Unit７
629,engineer,技師/技術者,Unit７
630,artist,芸術家,Unit７
631,director,監督,Unit７
632,actor,俳優,Unit７
633,nurse,看護師,Unit７
634,secretary,秘書,Unit７
635,agent,代行業者,Unit７
636,civil,民間の,Unit７
637,mayor,市長,Unit７
638,chairperson,議長/委員長,Unit７
639,professor,教授,Unit７
640,principal,校長,Unit７
641,expert,専門家,Unit７
642,leader,指導者/リーダー,Unit７
643,queen,女王,Unit７
644,prince,王子,Unit７
645,royal,国王の,Unit７
646,slave,奴隷,Unit７
647,hall,会館/ホール,Unit７
648,office,事務所/会社,Unit７
649,bank,銀行,Unit７
650,apartment,アパート,Unit７
651,library,図書館,Unit７
652,gym,体育館/ジム,Unit７
653,museum,博物館/美術館,Unit７
654,theater,劇場,Unit７
655,studio,スタジオ/（映画）撮影所,Unit７
656,stadium,競技場/スタジアム,Unit７
657,temple,寺院,Unit７
658,shrine,聖堂/神社,Unit７
659,castle,城,Unit７
660,tower,塔,Unit７
661,entrance,入口/玄関,Unit７
662,exit,出口,Unit７
663,architecture,建築,Unit７
664,avenue,大通り/〜街,Unit７
665,block,１区画/ブロック,Unit７
666,corner,曲がり角,Unit７
667,intersection,交差点,Unit７
668,zone,地帯/区域,Unit７
669,square,広場/正方形,Unit７
670,market,市場,Unit７
671,path,小道,Unit７
672,slope,坂,Unit７
673,traffic,交通/交通量,Unit７
674,drive,（車を）運転する,Unit７
675,ride,乗る,Unit７
676,railroad,鉄道,Unit７
677,subway,地下鉄,Unit７
678,automobile,自動車,Unit７
679,engine,エンジン,Unit７
680,wheel,ハンドル,Unit７
681,license,免許/免許証,Unit７
682,airport,空港,Unit７
683,flight,定期航空便/フライト,Unit７
684,port,港,Unit７
685,canal,運河,Unit７
686,key,鍵,Unit７
687,stair,階段,Unit７
688,upstairs,上の階に［で］,Unit７
689,floor,床,Unit７
690,shelf,棚,Unit７
691,roof,屋根,Unit７
692,ladder,はしご,Unit７
693,yard,庭,Unit７
694,closet,クローゼット,Unit７
695,refrigerator,冷蔵庫,Unit７
696,shower,シャワー,Unit７
697,housework,家事,Unit７
698,plastic,プラスチックの,Unit７
699,plate,皿,Unit７
700,glass,グラス,Unit７
701,garbage,生ゴミ/ごみ,Unit８
702,trash,ごみ/紙くず,Unit８
703,dust,ほこり,Unit８
704,trap,わな,Unit８
705,brush,ブラシ/はけ,Unit８
706,comb,くし,Unit８
707,blanket,毛布,Unit８
708,sheet,紙/紙の１枚,Unit８
709,label,ラベル,Unit８
710,envelope,封筒,Unit８
711,fashion,ファッション,Unit８
712,style,スタイル,Unit８
713,formal,正式の,Unit８
714,tight,きつい,Unit８
715,loose,ゆったりした,Unit８
716,wear,着ている/身につけている,Unit８
717,clothes,衣服/衣類,Unit８
718,dress,衣服を着せる,Unit８
719,costume,衣装/仮装,Unit８
720,tie,結ぶ,Unit８
721,sew,縫う/縫い付ける,Unit８
722,frame,フレーム,Unit８
723,button,ボタン,Unit８
724,ring,指輪,Unit８
725,jewel,宝石,Unit８
726,wallet,財布,Unit８
727,mobile,携帯電話,Unit８
728,portable,持ち運びできる,Unit８
729,umbrella,傘,Unit８
730,silk,絹/絹糸,Unit８
731,cotton,綿,Unit８
732,leather,革,Unit８
733,feather,羽/羽毛,Unit８
734,meal,食事,Unit８
735,supper,夕食,Unit８
736,snack,軽食,Unit８
737,dessert,デザート,Unit８
738,diet,ダイエット,Unit８
739,chopstick,箸,Unit８
740,bite,噛む,Unit８
741,flavor,風味/味,Unit８
742,delicious,とてもおいしい,Unit８
743,bitter,苦い,Unit８
744,sour,酸っぱい,Unit８
745,recipe,調理法/レシピ,Unit８
746,mix,混ぜる,Unit８
747,pour,注ぐ/かける,Unit８
748,fry,炒める/揚げる,Unit８
749,boil,ゆでる/煮る,Unit８
750,steam,蒸す,Unit８
751,bake,（パンなどを）焼く,Unit８
752,harvest,収穫/収穫物,Unit８
753,vegetable,野菜,Unit８
754,meat,肉,Unit８
755,wheat,小麦,Unit８
756,flour,小麦粉,Unit８
757,honey,ハチミツ,Unit８
758,salt,塩,Unit８
759,menu,メニュー,Unit８
760,choice,選択,Unit８
761,service,サービス/応対,Unit８
762,tip,チップ,Unit８
763,cancel,取り消す/中止する,Unit８
764,culture,文化,Unit８
765,hobby,趣味,Unit８
766,amusement,楽しみ,Unit８
767,entertainment,娯楽,Unit８
768,collect,集める/収集する,Unit８
769,exhibit,展示する,Unit８
770,instrument,楽器,Unit８
771,tune,（音楽の）調子,Unit８
772,film,映画,Unit８
773,cartoon,（子供向けの）アニメ,Unit８
774,comic,漫画,Unit８
775,photograph,写真,Unit８
776,portrait,肖像画,Unit８
777,magic,手品,Unit８
778,tour,旅行/ツアー,Unit８
779,journey,旅行,Unit８
780,sightseeing,観光,Unit８
781,adventure,冒険,Unit８
782,explore,探検する,Unit８
783,wander,歩き回る/ぶらつく,Unit８
784,camp,キャンプ,Unit８
785,tourist,観光客,Unit８
786,passenger,乗客,Unit８
787,guide,ガイド/案内人,Unit８
788,vacation,休暇,Unit８
789,souvenir,お土産,Unit８
790,pack,荷物を詰める,Unit８
791,win,勝つ,Unit８
792,victory,勝利,Unit８
793,record,記録,Unit８
794,score,得点/スコア,Unit８
795,prize,賞,Unit８
796,award,賞/賞金,Unit８
797,race,競争/人種,Unit８
798,match,試合,Unit８
799,tournament,トーナメント,Unit８
800,professional,プロの,Unit８
801,athlete,運動選手,Unit９
802,coach,コーチ/指導員,Unit９
803,rival,ライバル/競争相手,Unit９
804,train,訓練する/トレーニングする,Unit９
805,exercise,運動する,Unit９
806,practice,練習する,Unit９
807,indoor,屋内の/室内の,Unit９
808,flag,旗/国旗,Unit９
809,nature,自然,Unit９
810,climate,気候,Unit９
811,forecast,予報/予測,Unit９
812,temperature,温度/気温,Unit９
813,wind,風,Unit９
814,breeze,そよ風,Unit９
815,storm,嵐,Unit９
816,thunder,雷/雷鳴,Unit９
817,wave,波,Unit９
818,ray,光線,Unit９
819,sunlight,日光,Unit９
820,sunshine,日差し/日なた,Unit９
821,sunset,日没/夕焼け,Unit９
822,landscape,風景/景色,Unit９
823,continent,大陸,Unit９
824,ocean,海/大洋,Unit９
825,island,島,Unit９
826,ground,地面,Unit９
827,cave,洞窟,Unit９
828,bay,湾/入り江,Unit９
829,coast,海岸/沿岸,Unit９
830,shore,岸,Unit９
831,horizon,地平線/水平線,Unit９
832,valley,谷/盆地,Unit９
833,desert,砂漠,Unit９
834,sand,砂,Unit９
835,mud,泥,Unit９
836,rock,岩/岩石,Unit９
837,environment,環境,Unit９
838,recycle,再処理する/リサイクルする,Unit９
839,pollution,汚染/公害,Unit９
840,disaster,災害,Unit９
841,earthquake,地震,Unit９
842,flood,洪水,Unit９
843,rescue,救助する,Unit９
844,creature,生き物/動物,Unit９
845,species,種,Unit９
846,wild,野生の,Unit９
847,wildlife,野生動物,Unit９
848,insect,昆虫,Unit９
849,dinosaur,恐竜,Unit９
850,hunt,狩りをする,Unit９
851,bark,吠える,Unit９
852,nest,巣,Unit９
853,wood,森,Unit９
854,bush,茂み,Unit９
855,branch,枝,Unit９
856,root,根,Unit９
857,grass,芝生/草,Unit９
858,leaf,葉,Unit９
859,bloom,開花,Unit９
860,seed,種,Unit９
861,human,人間の,Unit９
862,person,人/人間,Unit９
863,people,人々,Unit９
864,crowd,群衆/人混み,Unit９
865,generation,世代,Unit９
866,male,男性の/雄の,Unit９
867,female,女性の/雌の,Unit９
868,gender,ジェンダー/性,Unit９
869,neighbor,隣人,Unit９
870,stranger,（その土地に）不案内な人,Unit９
871,birth,誕生,Unit９
872,childhood,子供時代,Unit９
873,youth,青年時代,Unit９
874,teenager,13歳から19歳までの若者,Unit９
875,adult,大人/成人,Unit９
876,junior,年少者,Unit９
877,senior,年長者/高齢者,Unit９
878,elderly,年配の,Unit９
879,dead,死んでいる,Unit９
880,age,年齢,Unit９
881,physical,身体の/肉体の,Unit９
882,condition,状態/体調,Unit９
883,function,機能/働き,Unit９
884,sight,視力,Unit９
